Family,Subfamily,Tribe,Genus,Specific Epithet,Subgenus,Infraspecific Epithet,Scientific Name Authorship,Identification References,Sociality,Sociality Type,Sociality Multiple Types,Sociality Data Accuracy,Sociality References,Cleptoparasites Hosts,Cleptoparasites Hosts References,Buzzing Capacity,Buzzing Capacity Data Accuracy,Buzzing Capacity References,Nesting Position,Nesting Remarks,Nesting Method,Nesting Substrate,Nesting Agreggation,Nesting Data Accuracy,Nesting Artificial,Nesting Population Range,Nesting Population Average,Nesting Brood Cell Types,Nesting References,Intertegular Distance Average,Intertegular Distance Classes,Intertegular Distance Subclasses,Intertegular Distance Females,Intertegular Distance Males,Intertegular Distance Workers,Intertegular Distance References,Uses human made structures
Colletidae,Colletinae,Colletini,Colletes,kerri,,,"Moure, 1956","Ferrari, Rafael. R. 2019. ''A revision of Colletes Latreille (Hymenoptera: Colletidae: Colletinae) from Brazil, Paraguay and Uruguay''. Zootaxa, 4606(1): 1-91. https://doi.org/10.11646/zootaxa.4606.1.1",non-eusocial,solitary,,species,"Michener, C. D., Lange, R. B. 1957. ''Observations on the ethology of some Brazilian colletid bees (Hymenoptera, Apoidea)''. Journal of the Kansas Entomological Society 30(2): 71-80. https://www.jstor.org/stable/25082238",no information,no information,yes,genus,"Bowers, Karen A. W. 1975. “The Pollination Ecology of Solanum rostratum (Solanaceae).” American Journal of Botany 62 (6): 633–38. https://doi.org/10.1002/j.1537-2197.1975.tb14094.x. | Buchmann, Stephen Lee, C. Eugene Jones, and Larry J. Colin. 1977. “Vibratile Pollination of Solanum douglasii and S. xanti (Solanaceae) in Southern California.” The Wassmann Journal of Biology 35 (1): 1–25. | Harter, Birgit, Carla Leistikow, Wolfgang Wilms, Betânia Truylio, and Wolf Engels. 2002. “Bees Collecting Pollen from Flowers with Poricidal Anthers in a South Brazilian Araucaria Forest: A Community Study.” Journal of Apicultural Research 41 (1–2): 9–16. https://doi.org/10.1080/00218839.2002.11101063. | Paine, K. C. and T. H. Roulston. 2012. ""Thieves or Friends: Are Specialist Bees More Efficient at Removing Pollen Than Generalists?"". 97th ESA Annual Convention 2012, Portland. | Bohs, Lynn. 2000. “Insights into the Witheringia Solanacea (Solanaceae) Complex in Costa Rica. II. Insect Visitors and Pollination Biology of W. Asterotricha and W. Meiantha1.” Biotropica 32 (1): 80–89. https://doi.org/10.1111/j.1744-7429.2000.tb00450.x.",below ground,no information,excavate,soil,no,species,unable,no information,no information,no information,"Pereira, Felipe Walter, Laís Carneiro, and Rodrigo Barbosa Gonçalves. 2021. “More Losses than Gains in Ground-Nesting Bees over 60 Years of Urbanization”. Urban Ecosystems 24 (2): 233–42. https://doi.org/10.1007/s11252-020-01030-1. | Michener, C. D., Lange, R. B. 1957. ''Observations on the ethology of some Brazilian colletid bees (Hymenoptera, Apoidea)''. Journal of the Kansas Entomological Society 30(2): 71-80. https://www.jstor.org/stable/25082238",3.35,medium (2.2-3.8),3.0-3.4,3.35,no information,no information,"Ferrari, Rafael. R. 2019. ''A revision of Colletes Latreille (Hymenoptera: Colletidae: Colletinae) from Brazil, Paraguay and Uruguay''. Zootaxa, 4606(1): 1-91. https://doi.org/10.11646/zootaxa.4606.1.1",no
Megachilidae,Megachilinae,Megachilini,Megachile,orbiculata,Austromegachile,,"Mitchell, 1930","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Morato, Élder Ferreira. 2003. ""Biologia de Megachile (Austromegachile) orbiculata Mitchell (Hymenoptera, Megachilidae) em Matas Contínuas e Fragmentos na Amazônia Central"". In Apoidea neotropica: homenagem aos 90 anos de Jesus Santiago Moure edited by Gabriel A. R. Melo and, Isabel Alves-dos-Santos, 57-162. Criciúma: Editora UNESC.",no information,no information,no information,no information,no information,above ground,no information,pre-existing cavities,wood; human-made structures,no,species,trap-nest,no information,no information,no information,"Morato, Élder Ferreira. 2003. ""Biologia de Megachile (Austromegachile) orbiculata Mitchell (Hymenoptera, Megachilidae) em Matas Contínuas e Fragmentos na Amazônia Central"". In Apoidea neotropica: homenagem aos 90 anos de Jesus Santiago Moure edited by Gabriel A. R. Melo and, Isabel Alves-dos-Santos, 57-162. Criciúma: Editora UNESC.",3.35,medium (2.2-3.8),3.0-3.4,3.35,no information,no information,"measured by Henrique P. Moleiro, Samara Santos, Kelli S. Ramos and Gabriela P. Camacho",yes
Halictidae,Halictinae,Augochlorini,Megalopta,atlantica,,,"Santos & Silveira, 2009","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,cleptoparasitic,,species,"Santos, L. M. and Gabriel A. R. Melo 2015. ""Updating the taxonomy of the bee genus Megalopta ( Hymenoptera?: Apidae , Augochlorini ) including revision of the Brazilian species"". Journal of Natural History 49(11–12): 575–674. https://doi.org/10.1080/00222933.2014.946106",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",no information,no information,no information,no information,no information,NA,unable,no information,no information,no information,no information,3.35,medium (2.2-3.8),3.0-3.4,3.35,no information,no information,"Santos, L. M. and Gabriel A. R. Melo 2015. ""Updating the taxonomy of the bee genus Megalopta ( Hymenoptera?: Apidae , Augochlorini ) including revision of the Brazilian species"". Journal of Natural History 49(11–12): 575–674. https://doi.org/10.1080/00222933.2014.946106",no information
Apidae,Eucerinae,Tapinotaspidini,Monoeca,mourei,,,"Aguiar, 2012","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,genus,"Rozen, Jerome G. Jr. 1984. ""Comparative nesting biology of the bee tribe Exomalopsini (Apoidea, Anthophoridae)"". American Museum novitates 2798: 35-37. http://hdl.handle.net/2246/5269",no information,no information,no information,no information,no information,below ground,no information,excavate,soil,no information,genus,unable,no information,no information,no information,"Rozen, Jerome G. Jr. 1984. ""Comparative nesting biology of the bee tribe Exomalopsini (Apoidea, Anthophoridae)"". American Museum novitates 2798: 35-37. http://hdl.handle.net/2246/5269",3.35,medium (2.2-3.8),3.0-3.4,3.35,no information,no information,measured by Paulo A. S. Pinheiro and Antonio J.C. Aguiar,no
Apidae,Apinae,Euglossini,Euglossa,amazonica,Euglossa,,"Dressler, 1982","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Carvalho, Gracy Chrisley Alencar. 2014. ""Comunidade de Abelhas Solitárias (Hymenoptera: Apidae) que Nidificam em Ninhos-Armadilha em uma Área de Cerrado no Parque Estadual do Mirador, Formosa da Serra Negra, Maranhão"". MSc diss., Universidade Federal do Maranhão.",no information,no information,yes,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood; human-made structures,no,species,trap-nest,no information,no information,no information,"Carvalho, Gracy Chrisley Alencar. 2014. ""Comunidade de Abelhas Solitárias (Hymenoptera: Apidae) que Nidificam em Ninhos-Armadilha em uma Área de Cerrado no Parque Estadual do Mirador, Formosa da Serra Negra, Maranhão"". MSc diss., Universidade Federal do Maranhão.",3.36,medium (2.2-3.8),3.0-3.4,no information,3.36,no information,"Brito, Thaline F., Colin C. Phifer, Jessie L. Knowlton, Cynthia M. Fiser, Nia M. Becker, Fernanda C. Barros, Felipe A. L. Contrera, et al. 2017. “Forest Reserves and Riparian Corridors Help Maintain Orchid Bee (Hymenoptera: Euglossini) Communities in Oil Palm Plantations in Brazil”. Apidologie 48 (5): 575–87. https://doi.org/10.1007/s13592-017-0500-z. | measured by Alexandre S. Barbosa and Antonio J.C. Aguiar | measured by Ian P.V. Santos and Marcia M. Maués",yes
Apidae,Apinae,Euglossini,Euglossa,securigera,Euglossa,,"Dressler, 1982","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,diverse,solitary;  semisocial;  primitively eusocial,genus,"Roubik, David W. 1992. Ecology and Natural History of Tropical Bees. Cambridge: Cambridge University Press | Dodson, C. H. “Ethology of Some Bees of the Tribe Euglossini (Hymenoptera: Apidae).” Journal of the Kansas Entomological Society 39, no. 4 (1966): 607–29. http://www.jstor.org/stable/25083566.",no information,no information,yes,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,nesting in pre-existing cavities in human-made structures,pre-existing cavities,wood; human-made structures,no information,species,trap-nest,no information,no information,no information,"Pinto, Rafael Sousa, Albeane Guimarães Silva, Márcia Maria Corrêa Rêgo, and Patricia Maia Correia De Albuquerque. 2019. “Pollen Analysis of the Post-Emergence Residue of Euglossa Bees (Apidae: Euglossini) Nesting in an Urban Fragment”. Sociobiology 66 (1): 88. https://doi.org/10.13102/sociobiology.v66i1.3434.",3.39,medium (2.2-3.8),3.0-3.4,no information,3.39,no information,"Daniel de Paiva_personal database | Raiol, Rafael Lobo, Markus Gastauer, Alistair John Campbell, Rafael Cabral Borges, Marcelo Awade, and Tereza Cristina Giannini. 2021. “Specialist Bee Species Are Larger and Less Phylogenetically Distinct Than Generalists in Tropical Plant–Bee Interaction Networks”. Frontiers in Ecology and Evolution 9 (July): 699649. https://doi.org/10.3389/fevo.2021.699649. | measured by Fernanda G. Souza, Thaline F. Brito and Daniel P. Silva",yes
Apidae,Eucerinae,Eucerini,Thygater,analis,Thygater,,"(Lepeletier, 1841)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Martins, G. F., and Serrão, J. E. 2004."" A comparative study of the ovaries in some Brazilian bees (Hymenoptera; Apoidea)."" Papéis Avulsos de Zoologia 44(3): 45-53. | Rozen, Jerome G. 1974. “Nest Biology of the Eucerine Bee Thygater Analis (Hymenoptera, Anthophoridae).” Journal of the New York Entomological Society 82 (4): 230–34.",no information,no information,yes,species,"Harter, Birgit, Carla Leistikow, Wolfgang Wilms, Betânia Truylio, and Wolf Engels. 2002. “Bees Collecting Pollen from Flowers with Poricidal Anthers in a South Brazilian Araucaria Forest: A Community Study.” Journal of Apicultural Research 41 (1–2): 9–16. https://doi.org/10.1080/00218839.2002.11101063. | Imperatriz-Fonseca, Vera Lúcia, Isabel Alves-dos-Santos, Pérsio De Souza Santos-Filho, Wolf Engels, Mauro Ramalho, Wolfgang Wilms, João Batista Vicentin Aguilar, Cynthia Almeida Pinheiro-Machado, Denise Araújo Alves, and Astrid De Matos Peixoto Kleinert. 2011. “Checklist das abelhas e plantas melitófilas no Estado de São Paulo, Brasil.” Biota Neotropica 11 (suppl 1): 631–55. https://doi.org/10.1590/S1676-06032011000500029.",below ground,no information,excavate,soil,yes,species,unable,no information,no information,no information,"Pereira, Felipe Walter, Laís Carneiro, and Rodrigo Barbosa Gonçalves. 2021. “More Losses than Gains in Ground-Nesting Bees over 60 Years of Urbanization”. Urban Ecosystems 24 (2): 233–42. https://doi.org/10.1007/s11252-020-01030-1. | Rozen, Jerome G. 1974. “Nest Biology of the Eucerine Bee Thygater Analis (Hymenoptera, Anthophoridae).” Journal of the New York Entomological Society 82 (4): 230–34.",3.39,medium (2.2-3.8),3.0-3.4,3.39,no information,no information,"Pereira, Felipe Walter, Laís Carneiro, and Rodrigo Barbosa Gonçalves. 2021. “More Losses than Gains in Ground-Nesting Bees over 60 Years of Urbanization”. Urban Ecosystems 24 (2): 233–42. https://doi.org/10.1007/s11252-020-01030-1. | Daniel de Paiva_personal database | Martins, G. F., and Serrão, J. E. 2004."" A comparative study of the ovaries in some Brazilian bees (Hymenoptera; Apoidea)."" Papéis Avulsos de Zoologia 44(3): 45-53. | Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3. | Raiol, Rafael Lobo, Markus Gastauer, Alistair John Campbell, Rafael Cabral Borges, Marcelo Awade, and Tereza Cristina Giannini. 2021. “Specialist Bee Species Are Larger and Less Phylogenetically Distinct Than Generalists in Tropical Plant–Bee Interaction Networks”. Frontiers in Ecology and Evolution 9 (July): 699649. https://doi.org/10.3389/fevo.2021.699649.",no
Megachilidae,Megachilinae,Anthidiini,Anthidium,sertanicola,,,"Moure & Urban, 1964","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,genus,"Michener, Charles Duncan. 2007. The Bees of the World. Baltimore: The Johns Hopkins University Press.",no information,no information,no,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood,no,genus,no information,no information,no information,no information,"Melander, Axel Leonard. 1902. “The Nesting Habits of Anthidium.” The Biological Bulletin 3 (1–2): 27–32. https://doi.org/10.2307/1535525.",3.4,medium (2.2-3.8),3.0-3.4,3.4,no information,no information,"Raiol, Rafael Lobo, Markus Gastauer, Alistair John Campbell, Rafael Cabral Borges, Marcelo Awade, and Tereza Cristina Giannini. 2021. “Specialist Bee Species Are Larger and Less Phylogenetically Distinct Than Generalists in Tropical Plant–Bee Interaction Networks”. Frontiers in Ecology and Evolution 9 (July): 699649. https://doi.org/10.3389/fevo.2021.699649.",no
Apidae,Apinae,Epicharitini,Epicharis,cockerelli,Epicharitides,,"Friese, 1900","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,genus,"Michener, Charles Duncan. 2007. The Bees of the World. Baltimore: The Johns Hopkins University Press.",no information,no information,yes,species,"Imperatriz-Fonseca, Vera Lúcia, Isabel Alves-dos-Santos, Pérsio De Souza Santos-Filho, Wolf Engels, Mauro Ramalho, Wolfgang Wilms, João Batista Vicentin Aguilar, Cynthia Almeida Pinheiro-Machado, Denise Araújo Alves, and Astrid De Matos Peixoto Kleinert. 2011. “Checklist das abelhas e plantas melitófilas no Estado de São Paulo, Brasil.” Biota Neotropica 11 (suppl 1): 631–55. https://doi.org/10.1590/S1676-06032011000500029.",below ground,no information,excavate,soil,no information,genus,unable,no information,no information,no information,"Michener, Charles Duncan. 2007. The Bees of the World. Baltimore: The Johns Hopkins University Press.",3.4,medium (2.2-3.8),3.0-3.4,3.4,no information,no information,"Raiol, Rafael Lobo, Markus Gastauer, Alistair John Campbell, Rafael Cabral Borges, Marcelo Awade, and Tereza Cristina Giannini. 2021. “Specialist Bee Species Are Larger and Less Phylogenetically Distinct Than Generalists in Tropical Plant–Bee Interaction Networks”. Frontiers in Ecology and Evolution 9 (July): 699649. https://doi.org/10.3389/fevo.2021.699649.",no
Megachilidae,Megachilinae,Megachilini,Megachile,botucatuna,Pseudocentron,,"Schrottky, 1913","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,genus,"Raw, Anthony. 2007. “An Annotated Catalogue of the Leafcutter and Mason Bees (Genus Megachile) of the Neotropics”. Zootaxa 1601 (1): 1–127. https://doi.org/10.11646/zootaxa.1601.1.1.",no information,no information,no information,no information,no information,above ground,no information,pre-existing cavities,wood; human-made structures,no,genus,trap-nest,no information,no information,no information,"Raw, Anthony. 2007. “An Annotated Catalogue of the Leafcutter and Mason Bees (Genus Megachile) of the Neotropics”. Zootaxa 1601 (1): 1–127. https://doi.org/10.11646/zootaxa.1601.1.1.",3.4,medium (2.2-3.8),3.0-3.4,3.4,no information,no information,"Raiol, Rafael Lobo, Markus Gastauer, Alistair John Campbell, Rafael Cabral Borges, Marcelo Awade, and Tereza Cristina Giannini. 2021. “Specialist Bee Species Are Larger and Less Phylogenetically Distinct Than Generalists in Tropical Plant–Bee Interaction Networks”. Frontiers in Ecology and Evolution 9 (July): 699649. https://doi.org/10.3389/fevo.2021.699649.",yes
Apidae,Eucerinae,Tapinotaspidini,Monoeca,haemorrhoidalis,,,"(Smith, 1854)","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Da Rocha-Filho, Léo Correia, and Gabriel A.R. Melo. 2011. “Nesting Biology and Behavioural Ecology of the Solitary Bee Monoeca haemorrhoidalis (Smith) and Its Cleptoparasite Protosiris gigas Melo (Hymenoptera: Apidae: Tapinotaspidini; Osirini)”. Journal of Natural History 45 (45–46): 2815–40. https://doi.org/10.1080/00222933.2011.616271.",no information,no information,no information,no information,no information,below ground,no information,excavate,soil,yes,species,unable,no information,no information,no information,"Da Rocha-Filho, Léo Correia, and Gabriel A.R. Melo. 2011. “Nesting Biology and Behavioural Ecology of the Solitary Bee Monoeca haemorrhoidalis (Smith) and Its Cleptoparasite Protosiris gigas Melo (Hymenoptera: Apidae: Tapinotaspidini; Osirini)”. Journal of Natural History 45 (45–46): 2815–40. https://doi.org/10.1080/00222933.2011.616271.",3.4,medium (2.2-3.8),3.0-3.4,3.4,no information,no information,"Raiol, Rafael Lobo, Markus Gastauer, Alistair John Campbell, Rafael Cabral Borges, Marcelo Awade, and Tereza Cristina Giannini. 2021. “Specialist Bee Species Are Larger and Less Phylogenetically Distinct Than Generalists in Tropical Plant–Bee Interaction Networks”. Frontiers in Ecology and Evolution 9 (July): 699649. https://doi.org/10.3389/fevo.2021.699649.",no
Apidae,Apinae,Euglossini,Euglossa,gaianii,Euglossa,,"Dressler, 1982","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Gostinski, Luana Fontoura, Gracy Chrisley Alencar Carvalho, Márcia Maria Correa Rêgo, and Patrícia Maia Correia De Albuquerque. 2016. “Species Richness and Activity Pattern of Bees (Hymenoptera, Apidae) in the Restinga Area of Lençóis Maranhenses National Park, Barreirinhas, Maranhão, Brazil”. Revista Brasileira de Entomologia 60 (4): 319–27. https://doi.org/10.1016/j.rbe.2016.08.004.",no information,no information,yes,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood; human-made structures,no,species,trap-nest,no information,no information,no information,"Gostinski, Luana Fontoura, Gracy Chrisley Alencar Carvalho, Márcia Maria Correa Rêgo, and Patrícia Maia Correia De Albuquerque. 2016. “Species Richness and Activity Pattern of Bees (Hymenoptera, Apidae) in the Restinga Area of Lençóis Maranhenses National Park, Barreirinhas, Maranhão, Brazil”. Revista Brasileira de Entomologia 60 (4): 319–27. https://doi.org/10.1016/j.rbe.2016.08.004.",3.41,medium (2.2-3.8),3.4-3.8,no information,3.41,no information,measured by Ian P.V. Santos and Marcia M. Maués,yes
Megachilidae,Megachilinae,Megachilini,Megachile,pseudanthidioides,Chrysosarus,,"Moure, 1943","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Zillikens, Anne, and Josefina Steiner. 2004. “Nest Architecture, Life Cycle and Cleptoparasite of the Neotropical Leaf-Cutting Bee Megachile (Chrysosarus) pseudanthidioides Moure (Hymenoptera: Megachilidae)”. Journal of the Kansas Entomological Society 77 (3): 193–202. https://doi.org/10.2317/0310.29.1.",no information,no information,no information,no information,no information,above ground,no information,pre-existing cavities,wood; human-made structures,no,species,trap-nest,no information,no information,no information,"Zillikens, Anne, and Josefina Steiner. 2004. “Nest Architecture, Life Cycle and Cleptoparasite of the Neotropical Leaf-Cutting Bee Megachile (Chrysosarus) pseudanthidioides Moure (Hymenoptera: Megachilidae)”. Journal of the Kansas Entomological Society 77 (3): 193–202. https://doi.org/10.2317/0310.29.1.",3.41,medium (2.2-3.8),3.4-3.8,3.41,no information,no information,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",yes
Apidae,Apinae,Centridini,Centris,tarsata,Hemisiella,,"Smith, 1874","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Mendes, Fernanda N, and Márcia M C Rêgo. 2007. “Nidificação de Centris (Hemisiella) tarsata Smith (Hymenoptera, Apidae, Centridini) em ninhos-armadilha no Nordeste do Maranhão, Brasil” Revista Brasileira de Entomologia 51 (3). https://doi.org/10.1590/S0085-56262007000300017.",no information,no information,yes,species,"Rosi-Denadai, Conrado Augusto, Priscila Cássia Souza Araújo, Lucio Antônio De Oliveira Campos, Lirio Cosme, and Raul Narciso Carvalho Guedes. 2020. “Buzz?pollination in Neotropical Bees: Genus?dependent Frequencies and Lack of Optimal Frequency for Pollen Release”. Insect Science 27 (1): 133–42. https://doi.org/10.1111/1744-7917.12602.",above ground,"pre-existing cavities, including human-made trap nests",pre-existing cavities,wood; human-made structures,no,species,trap-nest,no information,no information,no information,"Mendes, Fernanda N, and Márcia M C Rêgo. 2007. “Nidificação de Centris (Hemisiella) tarsata Smith (Hymenoptera, Apidae, Centridini) em ninhos-armadilha no Nordeste do Maranhão, Brasil” Revista Brasileira de Entomologia 51 (3). https://doi.org/10.1590/S0085-56262007000300017.",3.44,medium (2.2-3.8),3.4-3.8,3.44,no information,no information,"Martins, G. F., and Serrão, J. E. 2004."" A comparative study of the ovaries in some Brazilian bees (Hymenoptera; Apoidea)."" Papéis Avulsos de Zoologia 44(3): 45-53. | Burkart, Andreas, Klaus Lunau, and Clemens Schlindwein. 2012. “Comparative Bioacoustical Studies on Flight and Buzzing of Neotropical Bees”. Journal of Pollination Ecology 6 (January). https://doi.org/10.26786/1920-7603(2011)17. | Carneiro, Liedson Tavares, Camila Bárbara Danny Silva André, Adriana Takahasi, and Isabel Alves-dos-Santos. 2019. “Interactions between Oil-Collecting Bees and Krameria Grandiflora (Krameriaceae) with Emphasis on the Role of Specialized Floral Traits in the Mutual Fit”. Arthropod-Plant Interactions 13 (2): 213–26. https://doi.org/10.1007/s11829-019-09689-w. | Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3. | measured by Ana C.J. Costa",yes
Apidae,Eucerinae,Eucerini,Gaesischia,flavoclypeata,Gaesischiopsis,,"Michener, LaBerge & Moure, 1955","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,tribe,"Michener, Charles Duncan. 2007. The Bees of the World. Baltimore: The Johns Hopkins University Press.",no information,no information,no information,no information,no information,below ground,no information,pre-existing cavities,no information,no information,tribe,no information,no information,no information,no information,"Michener, Charles and Rudolf Lange. 1948. “Observations on the Ethology of Neotropical Anthophorine Bees (Hymenoptera: Apoidea)”, University of Kansas Science Bulletin 39, no 3 69–96. https://digitalcommons.usu.edu/bee_lab_mi/2/",3.44,medium (2.2-3.8),3.4-3.8,3.44,no information,no information,"Borges, Rafael Cabral, Kleber Padovani, Vera Lucia Imperatriz-Fonseca, and Tereza Cristina Giannini. 2020. “A Dataset of Multi-Functional Ecological Traits of Brazilian Bees”. Scientific Data 7 (1): 120. https://doi.org/10.1038/s41597-020-0461-3.",no information
Apidae,Apinae,Euglossini,Euglossa,mixta,Euglossa,,"Friese, 1899","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,diverse,solitary;  semisocial;  primitively eusocial,genus,"Roubik, David W. 1992. Ecology and Natural History of Tropical Bees. Cambridge: Cambridge University Press | Dodson, C. H. “Ethology of Some Bees of the Tribe Euglossini (Hymenoptera: Apidae).” Journal of the Kansas Entomological Society 39, no. 4 (1966): 607–29. http://www.jstor.org/stable/25083566.",no information,no information,yes,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",no information,no information,no information,no information,no information,NA,no information,no information,no information,no information,no information,3.45,medium (2.2-3.8),3.4-3.8,no information,3.45,no information,"Brito, Thaline de Freitas. 2018. ""Abelhas das Orquídeas (Apidae: Euglossini) e as Plantações de Palma de Óleo (Elaeis guineensis Jacq.) na Amazônia Oriental: Mudanças na Composição de Espécies, Tamanho Corporal e Diversidade Funcional. PhD diss., Universidade Federal do Pará. | Brito, Thaline F., Colin C. Phifer, Jessie L. Knowlton, Cynthia M. Fiser, Nia M. Becker, Fernanda C. Barros, Felipe A. L. Contrera, et al. 2017. “Forest Reserves and Riparian Corridors Help Maintain Orchid Bee (Hymenoptera: Euglossini) Communities in Oil Palm Plantations in Brazil”. Apidologie 48 (5): 575–87. https://doi.org/10.1007/s13592-017-0500-z.",no information
Apidae,Apinae,Euglossini,Euglossa,variabilis,Euglossa,,"Friese, 1899","Moure, Jesus Santiago, Danuncia Urban, and Gabriel A. R. Melo. 2022. Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region. Sociedade Brasileira de Entomologia.",non-eusocial,solitary,,species,"Gutiérrez-Chacón, Catalina, Carlos Valderrama-A, and Alexandra-Maria Klein. 2020. “Biological Corridors as Important Habitat Structures for Maintaining Bees in a Tropical Fragmented Landscape”. Journal of Insect Conservation 24 (1): 187–97. https://doi.org/10.1007/s10841-019-00205-2.",no information,no information,yes,genus,"Friese, Heinrich. 1921. ""Nachtrag zur Bienenfauna von Costa Rica"". Stettiner Entomologische Zeitung 82: 73-98.",above ground,no information,pre-existing cavities,wood,no,species,no information,no information,no information,no information,"Gutiérrez-Chacón, Catalina, Carlos Valderrama-A, and Alexandra-Maria Klein. 2020. “Biological Corridors as Important Habitat Structures for Maintaining Bees in a Tropical Fragmented Landscape”. Journal of Insect Conservation 24 (1): 187–97. https://doi.org/10.1007/s10841-019-00205-2.",3.45,medium (2.2-3.8),3.4-3.8,no information,3.45,no information,"Gutiérrez-Chacón, Catalina, Carlos Valderrama-A, and Alexandra-Maria Klein. 2020. “Biological Corridors as Important Habitat Structures for Maintaining Bees in a Tropical Fragmented Landscape”. Journal of Insect Conservation 24 (1): 187–97. https://doi.org/10.1007/s10841-019-00205-2.",no
